Time,Year,Month,Day,Hour,Timezone,MW
2019-10-01 00:00:00+02:00,2019,10,1,0,+02:00,44450.0
2019-10-01 01:00:00+02:00,2019,10,1,1,+02:00,41300.0
2019-10-01 02:00:00+02:00,2019,10,1,2,+02:00,40050.0
2019-10-01 03:00:00+02:00,2019,10,1,3,+02:00,37750.0
2019-10-01 04:00:00+02:00,2019,10,1,4,+02:00,36600.0
2019-10-01 05:00:00+02:00,2019,10,1,5,+02:00,37800.0
2019-10-01 06:00:00+02:00,2019,10,1,6,+02:00,41950.0
2019-10-01 07:00:00+02:00,2019,10,1,7,+02:00,48100.0
2019-10-01 08:00:00+02:00,2019,10,1,8,+02:00,50250.0
2019-10-01 09:00:00+02:00,2019,10,1,9,+02:00,51450.0
2019-10-01 10:00:00+02:00,2019,10,1,10,+02:00,52000.0
2019-10-01 11:00:00+02:00,2019,10,1,11,+02:00,52550.0
2019-10-01 12:00:00+02:00,2019,10,1,12,+02:00,53200.0
2019-10-01 13:00:00+02:00,2019,10,1,13,+02:00,52950.0
2019-10-01 14:00:00+02:00,2019,10,1,14,+02:00,51800.0
2019-10-01 15:00:00+02:00,2019,10,1,15,+02:00,50400.0
2019-10-01 16:00:00+02:00,2019,10,1,16,+02:00,49000.0
2019-10-01 17:00:00+02:00,2019,10,1,17,+02:00,48050.0
2019-10-01 18:00:00+02:00,2019,10,1,18,+02:00,48950.0
2019-10-01 19:00:00+02:00,2019,10,1,19,+02:00,51350.0
2019-10-01 20:00:00+02:00,2019,10,1,20,+02:00,51500.0
2019-10-01 21:00:00+02:00,2019,10,1,21,+02:00,47750.0
2019-10-01 22:00:00+02:00,2019,10,1,22,+02:00,45350.0
2019-10-01 23:00:00+02:00,2019,10,1,23,+02:00,47550.0
2019-10-02 00:00:00+02:00,2019,10,2,0,+02:00,44250.0
2019-10-02 01:00:00+02:00,2019,10,2,1,+02:00,40900.0
2019-10-02 02:00:00+02:00,2019,10,2,2,+02:00,39850.0
2019-10-02 03:00:00+02:00,2019,10,2,3,+02:00,37500.0
2019-10-02 04:00:00+02:00,2019,10,2,4,+02:00,36600.0
2019-10-02 05:00:00+02:00,2019,10,2,5,+02:00,37900.0
2019-10-02 06:00:00+02:00,2019,10,2,6,+02:00,42150.0
2019-10-02 07:00:00+02:00,2019,10,2,7,+02:00,48300.0
2019-10-02 08:00:00+02:00,2019,10,2,8,+02:00,50250.0
2019-10-02 09:00:00+02:00,2019,10,2,9,+02:00,51650.0
2019-10-02 10:00:00+02:00,2019,10,2,10,+02:00,52250.0
2019-10-02 11:00:00+02:00,2019,10,2,11,+02:00,52950.0
2019-10-02 12:00:00+02:00,2019,10,2,12,+02:00,53650.0
2019-10-02 13:00:00+02:00,2019,10,2,13,+02:00,53650.0
2019-10-02 14:00:00+02:00,2019,10,2,14,+02:00,52250.0
2019-10-02 15:00:00+02:00,2019,10,2,15,+02:00,50550.0
2019-10-02 16:00:00+02:00,2019,10,2,16,+02:00,49250.0
2019-10-02 17:00:00+02:00,2019,10,2,17,+02:00,47950.0
2019-10-02 18:00:00+02:00,2019,10,2,18,+02:00,49000.0
2019-10-02 19:00:00+02:00,2019,10,2,19,+02:00,51500.0
2019-10-02 20:00:00+02:00,2019,10,2,20,+02:00,52350.0
2019-10-02 21:00:00+02:00,2019,10,2,21,+02:00,48400.0
2019-10-02 22:00:00+02:00,2019,10,2,22,+02:00,46550.0
2019-10-02 23:00:00+02:00,2019,10,2,23,+02:00,49050.0
2019-10-03 00:00:00+02:00,2019,10,3,0,+02:00,46050.0
2019-10-03 01:00:00+02:00,2019,10,3,1,+02:00,42650.0
2019-10-03 02:00:00+02:00,2019,10,3,2,+02:00,41550.0
2019-10-03 03:00:00+02:00,2019,10,3,3,+02:00,38900.0
2019-10-03 04:00:00+02:00,2019,10,3,4,+02:00,37900.0
2019-10-03 05:00:00+02:00,2019,10,3,5,+02:00,39200.0
2019-10-03 06:00:00+02:00,2019,10,3,6,+02:00,43900.0
2019-10-03 07:00:00+02:00,2019,10,3,7,+02:00,50600.0
2019-10-03 08:00:00+02:00,2019,10,3,8,+02:00,53000.0
