Time,Year,Month,Day,Hour,Timezone,Wind Onshore,Solar
2019-10-01 00:00:00+02:00,2019,10,1,0,+02:00,4975.31,0.0
2019-10-01 01:00:00+02:00,2019,10,1,1,+02:00,5338.58,0.0
2019-10-01 02:00:00+02:00,2019,10,1,2,+02:00,5702.33,0.0
2019-10-01 03:00:00+02:00,2019,10,1,3,+02:00,5667.94,0.0
2019-10-01 04:00:00+02:00,2019,10,1,4,+02:00,5633.3,0.0
2019-10-01 05:00:00+02:00,2019,10,1,5,+02:00,5599.0,0.0
2019-10-01 06:00:00+02:00,2019,10,1,6,+02:00,5603.01,0.0
2019-10-01 07:00:00+02:00,2019,10,1,7,+02:00,5607.08,0.0
2019-10-01 08:00:00+02:00,2019,10,1,8,+02:00,5611.07,1.33
2019-10-01 09:00:00+02:00,2019,10,1,9,+02:00,5715.88,524.54
2019-10-01 10:00:00+02:00,2019,10,1,10,+02:00,5820.96,1775.88
2019-10-01 11:00:00+02:00,2019,10,1,11,+02:00,5926.02,2920.5
2019-10-01 12:00:00+02:00,2019,10,1,12,+02:00,6377.38,3632.16
2019-10-01 13:00:00+02:00,2019,10,1,13,+02:00,6829.05,4036.78
2019-10-01 14:00:00+02:00,2019,10,1,14,+02:00,7280.83,3952.62
2019-10-01 15:00:00+02:00,2019,10,1,15,+02:00,6886.8,3626.11
2019-10-01 16:00:00+02:00,2019,10,1,16,+02:00,6492.52,3017.07
2019-10-01 17:00:00+02:00,2019,10,1,17,+02:00,6098.57,2053.89
2019-10-01 18:00:00+02:00,2019,10,1,18,+02:00,5822.11,1046.88
2019-10-01 19:00:00+02:00,2019,10,1,19,+02:00,5545.65,183.94
2019-10-01 20:00:00+02:00,2019,10,1,20,+02:00,5269.28,0.0
2019-10-01 21:00:00+02:00,2019,10,1,21,+02:00,5252.26,0.0
2019-10-01 22:00:00+02:00,2019,10,1,22,+02:00,5235.38,0.0
2019-10-01 23:00:00+02:00,2019,10,1,23,+02:00,5218.59,0.0
2019-10-02 00:00:00+02:00,2019,10,2,0,+02:00,5655.38,0.0
2019-10-02 01:00:00+02:00,2019,10,2,1,+02:00,5203.45,0.0
2019-10-02 02:00:00+02:00,2019,10,2,2,+02:00,4748.79,0.0
2019-10-02 03:00:00+02:00,2019,10,2,3,+02:00,4736.75,0.0
2019-10-02 04:00:00+02:00,2019,10,2,4,+02:00,4725.35,0.0
2019-10-02 05:00:00+02:00,2019,10,2,5,+02:00,4713.81,0.0
2019-10-02 06:00:00+02:00,2019,10,2,6,+02:00,4490.8,0.0
2019-10-02 07:00:00+02:00,2019,10,2,7,+02:00,4268.05,0.0
2019-10-02 08:00:00+02:00,2019,10,2,8,+02:00,4044.51,0.37
2019-10-02 09:00:00+02:00,2019,10,2,9,+02:00,4119.75,497.33
2019-10-02 10:00:00+02:00,2019,10,2,10,+02:00,4195.41,1806.33
2019-10-02 11:00:00+02:00,2019,10,2,11,+02:00,4271.7,2963.29
2019-10-02 12:00:00+02:00,2019,10,2,12,+02:00,4354.5,3805.05
2019-10-02 13:00:00+02:00,2019,10,2,13,+02:00,4436.92,4032.84
2019-10-02 14:00:00+02:00,2019,10,2,14,+02:00,4519.55,4162.86
2019-10-02 15:00:00+02:00,2019,10,2,15,+02:00,4654.21,4093.45
2019-10-02 16:00:00+02:00,2019,10,2,16,+02:00,4789.82,3683.8
2019-10-02 17:00:00+02:00,2019,10,2,17,+02:00,4927.26,2835.39
2019-10-02 18:00:00+02:00,2019,10,2,18,+02:00,4491.15,1469.09
2019-10-02 19:00:00+02:00,2019,10,2,19,+02:00,4055.2,248.32
2019-10-02 20:00:00+02:00,2019,10,2,20,+02:00,3619.16,0.0
2019-10-02 21:00:00+02:00,2019,10,2,21,+02:00,3339.92,0.0
2019-10-02 22:00:00+02:00,2019,10,2,22,+02:00,3060.31,0.0
2019-10-02 23:00:00+02:00,2019,10,2,23,+02:00,2780.93,0.0
