,Solar
2019-10-01 00:00:00+02:00,0.0
2019-10-01 01:00:00+02:00,0.0
2019-10-01 02:00:00+02:00,0.0
2019-10-01 03:00:00+02:00,0.0
2019-10-01 04:00:00+02:00,0.0
2019-10-01 05:00:00+02:00,0.0
2019-10-01 06:00:00+02:00,0.0
2019-10-01 07:00:00+02:00,125.0
2019-10-01 08:00:00+02:00,398.0
2019-10-01 09:00:00+02:00,1479.0
2019-10-01 10:00:00+02:00,2661.0
2019-10-01 11:00:00+02:00,3344.0
2019-10-01 12:00:00+02:00,3654.0
2019-10-01 13:00:00+02:00,3672.0
2019-10-01 14:00:00+02:00,3461.0
2019-10-01 15:00:00+02:00,3089.0
2019-10-01 16:00:00+02:00,2335.0
2019-10-01 17:00:00+02:00,1513.0
2019-10-01 18:00:00+02:00,594.0
2019-10-01 19:00:00+02:00,177.0
2019-10-01 20:00:00+02:00,0.0
2019-10-01 21:00:00+02:00,0.0
2019-10-01 22:00:00+02:00,0.0
2019-10-01 23:00:00+02:00,0.0
2019-10-02 00:00:00+02:00,0.0
2019-10-02 01:00:00+02:00,0.0
2019-10-02 02:00:00+02:00,0.0
2019-10-02 03:00:00+02:00,0.0
2019-10-02 04:00:00+02:00,0.0
2019-10-02 05:00:00+02:00,0.0
2019-10-02 06:00:00+02:00,0.0
2019-10-02 07:00:00+02:00,123.0
2019-10-02 08:00:00+02:00,338.0
2019-10-02 09:00:00+02:00,1272.0
2019-10-02 10:00:00+02:00,2357.0
2019-10-02 11:00:00+02:00,3155.0
2019-10-02 12:00:00+02:00,3637.0
2019-10-02 13:00:00+02:00,3941.0
2019-10-02 14:00:00+02:00,3756.0
2019-10-02 15:00:00+02:00,3379.0
2019-10-02 16:00:00+02:00,2901.0
2019-10-02 17:00:00+02:00,1825.0
2019-10-02 18:00:00+02:00,754.0
2019-10-02 19:00:00+02:00,188.0
2019-10-02 20:00:00+02:00,0.0
2019-10-02 21:00:00+02:00,0.0
2019-10-02 22:00:00+02:00,0.0
2019-10-02 23:00:00+02:00,0.0
2019-10-03 00:00:00+02:00,0.0
2019-10-03 01:00:00+02:00,0.0
2019-10-03 02:00:00+02:00,0.0
2019-10-03 03:00:00+02:00,0.0
2019-10-03 04:00:00+02:00,0.0
2019-10-03 05:00:00+02:00,0.0
2019-10-03 06:00:00+02:00,0.0
2019-10-03 07:00:00+02:00,127.0
2019-10-03 08:00:00+02:00,414.0
2019-10-03 09:00:00+02:00,1531.0
2019-10-03 10:00:00+02:00,2908.0
2019-10-03 11:00:00+02:00,4077.0
2019-10-03 12:00:00+02:00,4881.0
2019-10-03 13:00:00+02:00,4954.0
2019-10-03 14:00:00+02:00,4715.0
2019-10-03 15:00:00+02:00,4067.0
2019-10-03 16:00:00+02:00,3245.0
2019-10-03 17:00:00+02:00,2157.0
2019-10-03 18:00:00+02:00,848.0
2019-10-03 19:00:00+02:00,181.0
2019-10-03 20:00:00+02:00,0.0
2019-10-03 21:00:00+02:00,0.0
2019-10-03 22:00:00+02:00,0.0
2019-10-03 23:00:00+02:00,0.0
2019-10-04 00:00:00+02:00,0.0
2019-10-04 01:00:00+02:00,0.0
2019-10-04 02:00:00+02:00,0.0
2019-10-04 03:00:00+02:00,0.0
2019-10-04 04:00:00+02:00,0.0
2019-10-04 05:00:00+02:00,0.0
2019-10-04 06:00:00+02:00,0.0
2019-10-04 07:00:00+02:00,114.0
2019-10-04 08:00:00+02:00,303.0
2019-10-04 09:00:00+02:00,991.0
2019-10-04 10:00:00+02:00,1831.0
2019-10-04 11:00:00+02:00,2674.0
2019-10-04 12:00:00+02:00,3074.0
2019-10-04 13:00:00+02:00,3287.0
2019-10-04 14:00:00+02:00,3089.0
2019-10-04 15:00:00+02:00,2728.0
2019-10-04 16:00:00+02:00,2182.0
2019-10-04 17:00:00+02:00,1406.0
2019-10-04 18:00:00+02:00,551.0
2019-10-04 19:00:00+02:00,161.0
2019-10-04 20:00:00+02:00,0.0
2019-10-04 21:00:00+02:00,0.0
2019-10-04 22:00:00+02:00,0.0
2019-10-04 23:00:00+02:00,0.0
2019-10-05 00:00:00+02:00,0.0
2019-10-05 01:00:00+02:00,0.0
2019-10-05 02:00:00+02:00,0.0
2019-10-05 03:00:00+02:00,0.0
2019-10-05 04:00:00+02:00,0.0
2019-10-05 05:00:00+02:00,0.0
2019-10-05 06:00:00+02:00,0.0
2019-10-05 07:00:00+02:00,114.0
2019-10-05 08:00:00+02:00,300.0
2019-10-05 09:00:00+02:00,1149.0
2019-10-05 10:00:00+02:00,2225.0
2019-10-05 11:00:00+02:00,3057.0
2019-10-05 12:00:00+02:00,3568.0
2019-10-05 13:00:00+02:00,3621.0
2019-10-05 14:00:00+02:00,3639.0
2019-10-05 15:00:00+02:00,3318.0
2019-10-05 16:00:00+02:00,2522.0
2019-10-05 17:00:00+02:00,1610.0
2019-10-05 18:00:00+02:00,613.0
2019-10-05 19:00:00+02:00,152.0
2019-10-05 20:00:00+02:00,0.0
2019-10-05 21:00:00+02:00,0.0
2019-10-05 22:00:00+02:00,0.0
2019-10-05 23:00:00+02:00,0.0
2019-10-06 00:00:00+02:00,0.0
2019-10-06 01:00:00+02:00,0.0
2019-10-06 02:00:00+02:00,0.0
2019-10-06 03:00:00+02:00,0.0
2019-10-06 04:00:00+02:00,0.0
2019-10-06 05:00:00+02:00,0.0
2019-10-06 06:00:00+02:00,0.0
2019-10-06 07:00:00+02:00,112.0
2019-10-06 08:00:00+02:00,290.0
2019-10-06 09:00:00+02:00,1028.0
2019-10-06 10:00:00+02:00,1882.0
2019-10-06 11:00:00+02:00,2542.0
2019-10-06 12:00:00+02:00,2860.0
2019-10-06 13:00:00+02:00,2936.0
2019-10-06 14:00:00+02:00,2850.0
2019-10-06 15:00:00+02:00,2657.0
2019-10-06 16:00:00+02:00,2151.0
2019-10-06 17:00:00+02:00,1386.0
2019-10-06 18:00:00+02:00,585.0
2019-10-06 19:00:00+02:00,163.0
2019-10-06 20:00:00+02:00,0.0
2019-10-06 21:00:00+02:00,0.0
2019-10-06 22:00:00+02:00,0.0
2019-10-06 23:00:00+02:00,0.0
2019-10-07 00:00:00+02:00,0.0
2019-10-07 01:00:00+02:00,0.0
2019-10-07 02:00:00+02:00,0.0
2019-10-07 03:00:00+02:00,0.0
2019-10-07 04:00:00+02:00,0.0
2019-10-07 05:00:00+02:00,0.0
2019-10-07 06:00:00+02:00,0.0
2019-10-07 07:00:00+02:00,0.0
2019-10-07 08:00:00+02:00,320.0
2019-10-07 09:00:00+02:00,1254.0
2019-10-07 10:00:00+02:00,2289.0
2019-10-07 11:00:00+02:00,3246.0
2019-10-07 12:00:00+02:00,3858.0
2019-10-07 13:00:00+02:00,4125.0
2019-10-07 14:00:00+02:00,4219.0
2019-10-07 15:00:00+02:00,3806.0
2019-10-07 16:00:00+02:00,2994.0
2019-10-07 17:00:00+02:00,1767.0
2019-10-07 18:00:00+02:00,605.0
2019-10-07 19:00:00+02:00,148.0
2019-10-07 20:00:00+02:00,0.0
2019-10-07 21:00:00+02:00,0.0
2019-10-07 22:00:00+02:00,0.0
2019-10-07 23:00:00+02:00,0.0
2019-10-08 00:00:00+02:00,0.0
2019-10-08 01:00:00+02:00,0.0
2019-10-08 02:00:00+02:00,0.0
2019-10-08 03:00:00+02:00,0.0
2019-10-08 04:00:00+02:00,0.0
2019-10-08 05:00:00+02:00,0.0
2019-10-08 06:00:00+02:00,0.0
2019-10-08 07:00:00+02:00,0.0
2019-10-08 08:00:00+02:00,338.0
2019-10-08 09:00:00+02:00,1466.0
2019-10-08 10:00:00+02:00,2802.0
2019-10-08 11:00:00+02:00,3791.0
2019-10-08 12:00:00+02:00,4329.0
2019-10-08 13:00:00+02:00,4511.0
2019-10-08 14:00:00+02:00,4448.0
2019-10-08 15:00:00+02:00,3955.0
2019-10-08 16:00:00+02:00,3027.0
2019-10-08 17:00:00+02:00,1794.0
2019-10-08 18:00:00+02:00,604.0
2019-10-08 19:00:00+02:00,148.0
2019-10-08 20:00:00+02:00,0.0
2019-10-08 21:00:00+02:00,0.0
2019-10-08 22:00:00+02:00,0.0
2019-10-08 23:00:00+02:00,0.0
2019-10-09 00:00:00+02:00,0.0
2019-10-09 01:00:00+02:00,0.0
2019-10-09 02:00:00+02:00,0.0
2019-10-09 03:00:00+02:00,0.0
2019-10-09 04:00:00+02:00,0.0
2019-10-09 05:00:00+02:00,0.0
2019-10-09 06:00:00+02:00,0.0
2019-10-09 07:00:00+02:00,0.0
2019-10-09 08:00:00+02:00,212.0
2019-10-09 09:00:00+02:00,748.0
2019-10-09 10:00:00+02:00,1354.0
