Time,Year,Month,Day,Hour,Timezone,Wind Onshore,Solar
2019-10-01 00:00:00+02:00,2019,10,1,0,+02:00,6076.0,0.0
2019-10-01 01:00:00+02:00,2019,10,1,1,+02:00,6137.0,0.0
2019-10-01 02:00:00+02:00,2019,10,1,2,+02:00,6342.0,0.0
2019-10-01 03:00:00+02:00,2019,10,1,3,+02:00,6355.0,0.0
2019-10-01 04:00:00+02:00,2019,10,1,4,+02:00,6217.0,0.0
2019-10-01 05:00:00+02:00,2019,10,1,5,+02:00,6230.0,0.0
2019-10-01 06:00:00+02:00,2019,10,1,6,+02:00,6439.0,0.0
2019-10-01 07:00:00+02:00,2019,10,1,7,+02:00,6156.0,125.0
2019-10-01 08:00:00+02:00,2019,10,1,8,+02:00,5767.0,398.0
2019-10-01 09:00:00+02:00,2019,10,1,9,+02:00,5376.0,1479.0
2019-10-01 10:00:00+02:00,2019,10,1,10,+02:00,5676.0,2661.0
2019-10-01 11:00:00+02:00,2019,10,1,11,+02:00,6143.0,3344.0
2019-10-01 12:00:00+02:00,2019,10,1,12,+02:00,6308.0,3654.0
2019-10-01 13:00:00+02:00,2019,10,1,13,+02:00,6522.0,3672.0
2019-10-01 14:00:00+02:00,2019,10,1,14,+02:00,6740.0,3461.0
2019-10-01 15:00:00+02:00,2019,10,1,15,+02:00,6871.0,3089.0
2019-10-01 16:00:00+02:00,2019,10,1,16,+02:00,6908.0,2335.0
2019-10-01 17:00:00+02:00,2019,10,1,17,+02:00,6724.0,1513.0
2019-10-01 18:00:00+02:00,2019,10,1,18,+02:00,6124.0,594.0
2019-10-01 19:00:00+02:00,2019,10,1,19,+02:00,6141.0,177.0
2019-10-01 20:00:00+02:00,2019,10,1,20,+02:00,5883.0,0.0
2019-10-01 21:00:00+02:00,2019,10,1,21,+02:00,5396.0,0.0
2019-10-01 22:00:00+02:00,2019,10,1,22,+02:00,5193.0,0.0
2019-10-01 23:00:00+02:00,2019,10,1,23,+02:00,5516.0,0.0
2019-10-02 00:00:00+02:00,2019,10,2,0,+02:00,5347.0,0.0
2019-10-02 01:00:00+02:00,2019,10,2,1,+02:00,5248.0,0.0
2019-10-02 02:00:00+02:00,2019,10,2,2,+02:00,5021.0,0.0
2019-10-02 03:00:00+02:00,2019,10,2,3,+02:00,5198.0,0.0
2019-10-02 04:00:00+02:00,2019,10,2,4,+02:00,5423.0,0.0
2019-10-02 05:00:00+02:00,2019,10,2,5,+02:00,5418.0,0.0
2019-10-02 06:00:00+02:00,2019,10,2,6,+02:00,5037.0,0.0
2019-10-02 07:00:00+02:00,2019,10,2,7,+02:00,4297.0,123.0
2019-10-02 08:00:00+02:00,2019,10,2,8,+02:00,3939.0,338.0
