,"('Wind Onshore', 'Actual Aggregated')","('Wind Onshore', 'Actual Consumption')",Wind Onshore
2019-10-01 00:00:00+02:00,,,6076.0
2019-10-01 01:00:00+02:00,,,6137.0
2019-10-01 02:00:00+02:00,,,6342.0
2019-10-01 03:00:00+02:00,,,6355.0
2019-10-01 04:00:00+02:00,,,6217.0
2019-10-01 05:00:00+02:00,,,6230.0
2019-10-01 06:00:00+02:00,,,6439.0
2019-10-01 07:00:00+02:00,,,6156.0
2019-10-01 08:00:00+02:00,,,5767.0
2019-10-01 09:00:00+02:00,,,5376.0
2019-10-01 10:00:00+02:00,,,5676.0
2019-10-01 11:00:00+02:00,,,6143.0
2019-10-01 12:00:00+02:00,,,6308.0
2019-10-01 13:00:00+02:00,,,6522.0
2019-10-01 14:00:00+02:00,,,6740.0
2019-10-01 15:00:00+02:00,,,6871.0
2019-10-01 16:00:00+02:00,,,6908.0
2019-10-01 17:00:00+02:00,,,6724.0
2019-10-01 18:00:00+02:00,,,6124.0
2019-10-01 19:00:00+02:00,,,6141.0
2019-10-01 20:00:00+02:00,,,5883.0
2019-10-01 21:00:00+02:00,,,5396.0
2019-10-01 22:00:00+02:00,,,5193.0
2019-10-01 23:00:00+02:00,,,5516.0
2019-10-02 00:00:00+02:00,,,5347.0
2019-10-02 01:00:00+02:00,,,5248.0
2019-10-02 02:00:00+02:00,,,5021.0
2019-10-02 03:00:00+02:00,,,5198.0
2019-10-02 04:00:00+02:00,,,5423.0
2019-10-02 05:00:00+02:00,,,5418.0
2019-10-02 06:00:00+02:00,,,5037.0
2019-10-02 07:00:00+02:00,,,4297.0
2019-10-02 08:00:00+02:00,,,3939.0
2019-10-02 09:00:00+02:00,,,3982.0
2019-10-02 10:00:00+02:00,,,4000.0
2019-10-02 11:00:00+02:00,,,4536.0
2019-10-02 12:00:00+02:00,,,4667.0
2019-10-02 13:00:00+02:00,,,4618.0
2019-10-02 14:00:00+02:00,,,4587.0
2019-10-02 15:00:00+02:00,,,4696.0
2019-10-02 16:00:00+02:00,,,4906.0
2019-10-02 17:00:00+02:00,,,4886.0
2019-10-02 18:00:00+02:00,,,4333.0
2019-10-02 19:00:00+02:00,,,3650.0
2019-10-02 20:00:00+02:00,,,3712.0
2019-10-02 21:00:00+02:00,,,3546.0
2019-10-02 22:00:00+02:00,,,3275.0
2019-10-02 23:00:00+02:00,,,2886.0
2019-10-03 00:00:00+02:00,,,2493.0
2019-10-03 01:00:00+02:00,,,2152.0
2019-10-03 02:00:00+02:00,,,1934.0
2019-10-03 03:00:00+02:00,,,1856.0
2019-10-03 04:00:00+02:00,,,1841.0
2019-10-03 05:00:00+02:00,,,1815.0
2019-10-03 06:00:00+02:00,,,1867.0
2019-10-03 07:00:00+02:00,,,1879.0
2019-10-03 08:00:00+02:00,,,1837.0
2019-10-03 09:00:00+02:00,,,1696.0
2019-10-03 10:00:00+02:00,,,1460.0
2019-10-03 11:00:00+02:00,,,1372.0
2019-10-03 12:00:00+02:00,,,1465.0
2019-10-03 13:00:00+02:00,,,1576.0
2019-10-03 14:00:00+02:00,,,1579.0
2019-10-03 15:00:00+02:00,,,1656.0
2019-10-03 16:00:00+02:00,,,1747.0
2019-10-03 17:00:00+02:00,,,1874.0
2019-10-03 18:00:00+02:00,,,2012.0
2019-10-03 19:00:00+02:00,,,2106.0
2019-10-03 20:00:00+02:00,,,2351.0
2019-10-03 21:00:00+02:00,,,2969.0
2019-10-03 22:00:00+02:00,,,3503.0
2019-10-03 23:00:00+02:00,,,4092.0
2019-10-04 00:00:00+02:00,,,4866.0
2019-10-04 01:00:00+02:00,,,5330.0
2019-10-04 02:00:00+02:00,,,5781.0
2019-10-04 03:00:00+02:00,,,6035.0
2019-10-04 04:00:00+02:00,,,6330.0
2019-10-04 05:00:00+02:00,,,6238.0
2019-10-04 06:00:00+02:00,,,6094.0
2019-10-04 07:00:00+02:00,,,6273.0
2019-10-04 08:00:00+02:00,,,5710.0
2019-10-04 09:00:00+02:00,,,5105.0
2019-10-04 10:00:00+02:00,,,5047.0
2019-10-04 11:00:00+02:00,,,6003.0
2019-10-04 12:00:00+02:00,,,6972.0
2019-10-04 13:00:00+02:00,,,7332.0
2019-10-04 14:00:00+02:00,,,7501.0
2019-10-04 15:00:00+02:00,,,7682.0
2019-10-04 16:00:00+02:00,,,7547.0
2019-10-04 17:00:00+02:00,,,7097.0
2019-10-04 18:00:00+02:00,,,6665.0
2019-10-04 19:00:00+02:00,,,5948.0
2019-10-04 20:00:00+02:00,,,5695.0
2019-10-04 21:00:00+02:00,,,5364.0
2019-10-04 22:00:00+02:00,,,4898.0
2019-10-04 23:00:00+02:00,,,4668.0
2019-10-05 00:00:00+02:00,,,4413.0
2019-10-05 01:00:00+02:00,,,4312.0
2019-10-05 02:00:00+02:00,,,4017.0
2019-10-05 03:00:00+02:00,,,3512.0
2019-10-05 04:00:00+02:00,,,3052.0
2019-10-05 05:00:00+02:00,,,2583.0
2019-10-05 06:00:00+02:00,,,2185.0
2019-10-05 07:00:00+02:00,,,1931.0
2019-10-05 08:00:00+02:00,,,1760.0
2019-10-05 09:00:00+02:00,,,1586.0
2019-10-05 10:00:00+02:00,,,1481.0
2019-10-05 11:00:00+02:00,,,1554.0
2019-10-05 12:00:00+02:00,,,1612.0
2019-10-05 13:00:00+02:00,,,1656.0
2019-10-05 14:00:00+02:00,,,1606.0
2019-10-05 15:00:00+02:00,,,1683.0
2019-10-05 16:00:00+02:00,,,1732.0
2019-10-05 17:00:00+02:00,,,1675.0
2019-10-05 18:00:00+02:00,,,1597.0
2019-10-05 19:00:00+02:00,,,1509.0
2019-10-05 20:00:00+02:00,,,1608.0
2019-10-05 21:00:00+02:00,,,1748.0
2019-10-05 22:00:00+02:00,,,1795.0
2019-10-05 23:00:00+02:00,,,1928.0
2019-10-06 00:00:00+02:00,,,2052.0
2019-10-06 01:00:00+02:00,,,2171.0
2019-10-06 02:00:00+02:00,,,2136.0
2019-10-06 03:00:00+02:00,,,2123.0
2019-10-06 04:00:00+02:00,,,2041.0
2019-10-06 05:00:00+02:00,,,2225.0
2019-10-06 06:00:00+02:00,,,2440.0
2019-10-06 07:00:00+02:00,,,2804.0
2019-10-06 08:00:00+02:00,,,3348.0
2019-10-06 09:00:00+02:00,,,3977.0
2019-10-06 10:00:00+02:00,,,4696.0
2019-10-06 11:00:00+02:00,,,5749.0
2019-10-06 12:00:00+02:00,,,6198.0
2019-10-06 13:00:00+02:00,,,6890.0
2019-10-06 14:00:00+02:00,,,7343.0
2019-10-06 15:00:00+02:00,,,7552.0
2019-10-06 16:00:00+02:00,,,8091.0
2019-10-06 17:00:00+02:00,,,8217.0
2019-10-06 18:00:00+02:00,,,8083.0
2019-10-06 19:00:00+02:00,,,7707.0
2019-10-06 20:00:00+02:00,,,7737.0
2019-10-06 21:00:00+02:00,,,8046.0
2019-10-06 22:00:00+02:00,,,7779.0
2019-10-06 23:00:00+02:00,,,7515.0
2019-10-07 00:00:00+02:00,,,7012.0
2019-10-07 01:00:00+02:00,,,6151.0
2019-10-07 02:00:00+02:00,,,5016.0
2019-10-07 03:00:00+02:00,,,4124.0
2019-10-07 04:00:00+02:00,,,3885.0
2019-10-07 05:00:00+02:00,,,3379.0
2019-10-07 06:00:00+02:00,,,3007.0
2019-10-07 07:00:00+02:00,,,2698.0
2019-10-07 08:00:00+02:00,,,2491.0
2019-10-07 09:00:00+02:00,,,2284.0
2019-10-07 10:00:00+02:00,,,2261.0
2019-10-07 11:00:00+02:00,,,2282.0
2019-10-07 12:00:00+02:00,,,2357.0
2019-10-07 13:00:00+02:00,,,2476.0
