,Solar
2019-10-01 00:00:00+02:00,0.0
2019-10-01 01:00:00+02:00,0.0
2019-10-01 02:00:00+02:00,0.0
2019-10-01 03:00:00+02:00,0.0
2019-10-01 04:00:00+02:00,0.0
2019-10-01 05:00:00+02:00,0.0
2019-10-01 06:00:00+02:00,0.0
2019-10-01 07:00:00+02:00,0.0
2019-10-01 08:00:00+02:00,1.33
2019-10-01 09:00:00+02:00,524.54
2019-10-01 10:00:00+02:00,1775.88
2019-10-01 11:00:00+02:00,2920.5
2019-10-01 12:00:00+02:00,3632.16
2019-10-01 13:00:00+02:00,4036.78
2019-10-01 14:00:00+02:00,3952.62
2019-10-01 15:00:00+02:00,3626.11
2019-10-01 16:00:00+02:00,3017.07
2019-10-01 17:00:00+02:00,2053.89
2019-10-01 18:00:00+02:00,1046.88
2019-10-01 19:00:00+02:00,183.94
2019-10-01 20:00:00+02:00,0.0
2019-10-01 21:00:00+02:00,0.0
2019-10-01 22:00:00+02:00,0.0
2019-10-01 23:00:00+02:00,0.0
2019-10-02 00:00:00+02:00,0.0
2019-10-02 01:00:00+02:00,0.0
2019-10-02 02:00:00+02:00,0.0
2019-10-02 03:00:00+02:00,0.0
2019-10-02 04:00:00+02:00,0.0
2019-10-02 05:00:00+02:00,0.0
2019-10-02 06:00:00+02:00,0.0
2019-10-02 07:00:00+02:00,0.0
2019-10-02 08:00:00+02:00,0.37
2019-10-02 09:00:00+02:00,497.33
2019-10-02 10:00:00+02:00,1806.33
2019-10-02 11:00:00+02:00,2963.29
2019-10-02 12:00:00+02:00,3805.05
2019-10-02 13:00:00+02:00,4032.84
2019-10-02 14:00:00+02:00,4162.86
2019-10-02 15:00:00+02:00,4093.45
2019-10-02 16:00:00+02:00,3683.8
2019-10-02 17:00:00+02:00,2835.39
2019-10-02 18:00:00+02:00,1469.09
2019-10-02 19:00:00+02:00,248.32
2019-10-02 20:00:00+02:00,0.0
2019-10-02 21:00:00+02:00,0.0
2019-10-02 22:00:00+02:00,0.0
2019-10-02 23:00:00+02:00,0.0
2019-10-03 00:00:00+02:00,0.0
2019-10-03 01:00:00+02:00,0.0
2019-10-03 02:00:00+02:00,0.0
2019-10-03 03:00:00+02:00,0.0
2019-10-03 04:00:00+02:00,0.0
2019-10-03 05:00:00+02:00,0.0
2019-10-03 06:00:00+02:00,0.0
2019-10-03 07:00:00+02:00,0.0
2019-10-03 08:00:00+02:00,0.18
2019-10-03 09:00:00+02:00,524.02
2019-10-03 10:00:00+02:00,1894.97
2019-10-03 11:00:00+02:00,3293.28
2019-10-03 12:00:00+02:00,4202.66
2019-10-03 13:00:00+02:00,4841.97
2019-10-03 14:00:00+02:00,4943.71
2019-10-03 15:00:00+02:00,4834.42
2019-10-03 16:00:00+02:00,4129.51
2019-10-03 17:00:00+02:00,3063.86
2019-10-03 18:00:00+02:00,1512.06
2019-10-03 19:00:00+02:00,242.2
2019-10-03 20:00:00+02:00,0.0
2019-10-03 21:00:00+02:00,0.0
2019-10-03 22:00:00+02:00,0.0
2019-10-03 23:00:00+02:00,0.0
2019-10-04 00:00:00+02:00,0.0
2019-10-04 01:00:00+02:00,0.0
2019-10-04 02:00:00+02:00,0.0
2019-10-04 03:00:00+02:00,0.0
2019-10-04 04:00:00+02:00,0.0
2019-10-04 05:00:00+02:00,0.0
2019-10-04 06:00:00+02:00,0.0
2019-10-04 07:00:00+02:00,0.0
2019-10-04 08:00:00+02:00,0.03
2019-10-04 09:00:00+02:00,449.96
2019-10-04 10:00:00+02:00,1686.82
2019-10-04 11:00:00+02:00,2773.09
2019-10-04 12:00:00+02:00,3409.64
2019-10-04 13:00:00+02:00,3640.31
2019-10-04 14:00:00+02:00,3664.11
2019-10-04 15:00:00+02:00,3436.44
2019-10-04 16:00:00+02:00,2937.5
2019-10-04 17:00:00+02:00,2174.58
2019-10-04 18:00:00+02:00,1135.9
2019-10-04 19:00:00+02:00,185.52
2019-10-04 20:00:00+02:00,0.0
2019-10-04 21:00:00+02:00,0.0
2019-10-04 22:00:00+02:00,0.0
2019-10-04 23:00:00+02:00,0.0
2019-10-05 00:00:00+02:00,0.0
2019-10-05 01:00:00+02:00,0.0
2019-10-05 02:00:00+02:00,0.0
2019-10-05 03:00:00+02:00,0.0
2019-10-05 04:00:00+02:00,0.0
2019-10-05 05:00:00+02:00,0.0
2019-10-05 06:00:00+02:00,0.0
2019-10-05 07:00:00+02:00,0.0
2019-10-05 08:00:00+02:00,0.0
2019-10-05 09:00:00+02:00,407.36
2019-10-05 10:00:00+02:00,1542.43
2019-10-05 11:00:00+02:00,2698.09
2019-10-05 12:00:00+02:00,3518.77
2019-10-05 13:00:00+02:00,4140.41
2019-10-05 14:00:00+02:00,4287.51
2019-10-05 15:00:00+02:00,4145.69
2019-10-05 16:00:00+02:00,3562.78
2019-10-05 17:00:00+02:00,2599.51
2019-10-05 18:00:00+02:00,1311.59
2019-10-05 19:00:00+02:00,193.78
2019-10-05 20:00:00+02:00,0.0
2019-10-05 21:00:00+02:00,0.0
2019-10-05 22:00:00+02:00,0.0
2019-10-05 23:00:00+02:00,0.0
2019-10-06 00:00:00+02:00,0.0
2019-10-06 01:00:00+02:00,0.0
2019-10-06 02:00:00+02:00,0.0
2019-10-06 03:00:00+02:00,0.0
2019-10-06 04:00:00+02:00,0.0
2019-10-06 05:00:00+02:00,0.0
2019-10-06 06:00:00+02:00,0.0
2019-10-06 07:00:00+02:00,0.0
2019-10-06 08:00:00+02:00,0.0
2019-10-06 09:00:00+02:00,380.44
2019-10-06 10:00:00+02:00,1538.45
2019-10-06 11:00:00+02:00,2633.46
2019-10-06 12:00:00+02:00,3487.22
2019-10-06 13:00:00+02:00,3792.44
2019-10-06 14:00:00+02:00,3855.65
2019-10-06 15:00:00+02:00,3503.56
2019-10-06 16:00:00+02:00,2952.68
2019-10-06 17:00:00+02:00,2191.79
2019-10-06 18:00:00+02:00,1109.99
2019-10-06 19:00:00+02:00,158.53
2019-10-06 20:00:00+02:00,0.0
2019-10-06 21:00:00+02:00,0.0
2019-10-06 22:00:00+02:00,0.0
2019-10-06 23:00:00+02:00,0.0
2019-10-07 00:00:00+02:00,0.0
2019-10-07 01:00:00+02:00,0.0
2019-10-07 02:00:00+02:00,0.0
2019-10-07 03:00:00+02:00,0.0
2019-10-07 04:00:00+02:00,0.0
2019-10-07 05:00:00+02:00,0.0
2019-10-07 06:00:00+02:00,0.0
2019-10-07 07:00:00+02:00,0.0
2019-10-07 08:00:00+02:00,0.0
2019-10-07 09:00:00+02:00,404.08
2019-10-07 10:00:00+02:00,1663.52
2019-10-07 11:00:00+02:00,2903.2
2019-10-07 12:00:00+02:00,3926.06
2019-10-07 13:00:00+02:00,4610.58
2019-10-07 14:00:00+02:00,4836.0
2019-10-07 15:00:00+02:00,4603.56
2019-10-07 16:00:00+02:00,3782.55
2019-10-07 17:00:00+02:00,2528.68
2019-10-07 18:00:00+02:00,1154.76
2019-10-07 19:00:00+02:00,133.84
2019-10-07 20:00:00+02:00,0.0
2019-10-07 21:00:00+02:00,0.0
2019-10-07 22:00:00+02:00,0.0
2019-10-07 23:00:00+02:00,0.0
2019-10-08 00:00:00+02:00,0.0
2019-10-08 01:00:00+02:00,0.0
2019-10-08 02:00:00+02:00,0.0
2019-10-08 03:00:00+02:00,0.0
2019-10-08 04:00:00+02:00,0.0
2019-10-08 05:00:00+02:00,0.0
2019-10-08 06:00:00+02:00,0.0
2019-10-08 07:00:00+02:00,0.0
2019-10-08 08:00:00+02:00,0.0
2019-10-08 09:00:00+02:00,378.03
2019-10-08 10:00:00+02:00,1631.0
2019-10-08 11:00:00+02:00,2932.04
2019-10-08 12:00:00+02:00,3768.53
2019-10-08 13:00:00+02:00,4238.87
2019-10-08 14:00:00+02:00,4283.83
2019-10-08 15:00:00+02:00,3873.42
2019-10-08 16:00:00+02:00,3164.02
2019-10-08 17:00:00+02:00,2214.18
2019-10-08 18:00:00+02:00,1021.16
2019-10-08 19:00:00+02:00,119.86
2019-10-08 20:00:00+02:00,0.0
2019-10-08 21:00:00+02:00,0.0
2019-10-08 22:00:00+02:00,0.0
2019-10-08 23:00:00+02:00,0.0
2019-10-09 00:00:00+02:00,0.0
2019-10-09 01:00:00+02:00,0.0
2019-10-09 02:00:00+02:00,0.0
2019-10-09 03:00:00+02:00,0.0
2019-10-09 04:00:00+02:00,0.0
2019-10-09 05:00:00+02:00,0.0
2019-10-09 06:00:00+02:00,0.0
2019-10-09 07:00:00+02:00,0.0
2019-10-09 08:00:00+02:00,0.0
2019-10-09 09:00:00+02:00,229.56
2019-10-09 10:00:00+02:00,1068.64
