,Wind Onshore
2019-10-01 00:00:00+02:00,4975.31
2019-10-01 01:00:00+02:00,5338.58
2019-10-01 02:00:00+02:00,5702.33
2019-10-01 03:00:00+02:00,5667.94
2019-10-01 04:00:00+02:00,5633.3
2019-10-01 05:00:00+02:00,5599.0
2019-10-01 06:00:00+02:00,5603.01
2019-10-01 07:00:00+02:00,5607.08
2019-10-01 08:00:00+02:00,5611.07
2019-10-01 09:00:00+02:00,5715.88
2019-10-01 10:00:00+02:00,5820.96
2019-10-01 11:00:00+02:00,5926.02
2019-10-01 12:00:00+02:00,6377.38
2019-10-01 13:00:00+02:00,6829.05
2019-10-01 14:00:00+02:00,7280.83
2019-10-01 15:00:00+02:00,6886.8
2019-10-01 16:00:00+02:00,6492.52
2019-10-01 17:00:00+02:00,6098.57
2019-10-01 18:00:00+02:00,5822.11
2019-10-01 19:00:00+02:00,5545.65
2019-10-01 20:00:00+02:00,5269.28
2019-10-01 21:00:00+02:00,5252.26
2019-10-01 22:00:00+02:00,5235.38
2019-10-01 23:00:00+02:00,5218.59
2019-10-02 00:00:00+02:00,5655.38
2019-10-02 01:00:00+02:00,5203.45
2019-10-02 02:00:00+02:00,4748.79
2019-10-02 03:00:00+02:00,4736.75
2019-10-02 04:00:00+02:00,4725.35
2019-10-02 05:00:00+02:00,4713.81
2019-10-02 06:00:00+02:00,4490.8
2019-10-02 07:00:00+02:00,4268.05
2019-10-02 08:00:00+02:00,4044.51
2019-10-02 09:00:00+02:00,4119.75
2019-10-02 10:00:00+02:00,4195.41
2019-10-02 11:00:00+02:00,4271.7
2019-10-02 12:00:00+02:00,4354.5
2019-10-02 13:00:00+02:00,4436.92
2019-10-02 14:00:00+02:00,4519.55
2019-10-02 15:00:00+02:00,4654.21
2019-10-02 16:00:00+02:00,4789.82
2019-10-02 17:00:00+02:00,4927.26
2019-10-02 18:00:00+02:00,4491.15
2019-10-02 19:00:00+02:00,4055.2
2019-10-02 20:00:00+02:00,3619.16
2019-10-02 21:00:00+02:00,3339.92
2019-10-02 22:00:00+02:00,3060.31
2019-10-02 23:00:00+02:00,2780.93
2019-10-03 00:00:00+02:00,2543.44
2019-10-03 01:00:00+02:00,2329.39
2019-10-03 02:00:00+02:00,2118.76
2019-10-03 03:00:00+02:00,2041.46
2019-10-03 04:00:00+02:00,1964.24
2019-10-03 05:00:00+02:00,1888.62
2019-10-03 06:00:00+02:00,1744.13
2019-10-03 07:00:00+02:00,1601.81
2019-10-03 08:00:00+02:00,1460.05
2019-10-03 09:00:00+02:00,1483.93
2019-10-03 10:00:00+02:00,1508.64
2019-10-03 11:00:00+02:00,1535.99
2019-10-03 12:00:00+02:00,1532.19
2019-10-03 13:00:00+02:00,1529.96
2019-10-03 14:00:00+02:00,1528.41
2019-10-03 15:00:00+02:00,1578.27
2019-10-03 16:00:00+02:00,1627.95
2019-10-03 17:00:00+02:00,1677.14
2019-10-03 18:00:00+02:00,1803.83
2019-10-03 19:00:00+02:00,1931.45
2019-10-03 20:00:00+02:00,2059.37
2019-10-03 21:00:00+02:00,2502.76
2019-10-03 22:00:00+02:00,2946.76
2019-10-03 23:00:00+02:00,3390.7
2019-10-04 00:00:00+02:00,4577.96
2019-10-04 01:00:00+02:00,5295.27
2019-10-04 02:00:00+02:00,6014.07
2019-10-04 03:00:00+02:00,6104.05
2019-10-04 04:00:00+02:00,6193.74
2019-10-04 05:00:00+02:00,6283.82
2019-10-04 06:00:00+02:00,6015.25
2019-10-04 07:00:00+02:00,5747.21
2019-10-04 08:00:00+02:00,5479.1
2019-10-04 09:00:00+02:00,5597.86
2019-10-04 10:00:00+02:00,5716.47
2019-10-04 11:00:00+02:00,5835.78
2019-10-04 12:00:00+02:00,6307.14
2019-10-04 13:00:00+02:00,6778.54
2019-10-04 14:00:00+02:00,7250.17
2019-10-04 15:00:00+02:00,7320.46
2019-10-04 16:00:00+02:00,7390.47
2019-10-04 17:00:00+02:00,7460.13
2019-10-04 18:00:00+02:00,6911.04
